timestamp,corr_lat,corr_lng,corr_alt,true_lat,true_lng,true_alt,ref_num
2023-11-22 06:13:00.133419,8.2422764,124.24408503333335,31.788999999999994,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:13:06.764372,8.2422617,124.24406823333334,31.668999999999997,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:13:06.997053,8.242255,124.24405683333335,31.769,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:13:09.303145,8.2422533,124.24405353333334,31.738999999999997,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:13:14.326156,8.2422476,124.24404703333335,31.758999999999993,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:13:19.363732,8.242247800000001,124.24404493333334,31.748999999999995,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:13:24.397430,8.2422465,124.24404483333335,31.688999999999993,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:13:29.412352,8.2422466,124.24404703333335,31.659,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:13:34.443059,8.242244600000001,124.24404933333335,31.678999999999995,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:13:39.482363,8.2422425,124.24405103333335,31.618999999999993,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:13:44.489919,8.2422388,124.24405163333334,31.729,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:13:49.520299,8.2422339,124.24404903333334,31.618999999999993,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:13:54.545788,8.242229,124.24404513333334,31.508999999999993,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:13:59.565046,8.2422254,124.24403983333335,31.758999999999993,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:14:04.580870,8.2422228,124.24403383333335,31.788999999999994,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:14:09.618538,8.2422204,124.24402893333334,31.648999999999994,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:14:14.630322,8.2422173,124.24402523333335,31.769,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:14:19.688218,8.24221,124.24402263333334,31.738999999999997,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:14:24.681663,8.2422018,124.24402033333334,31.798999999999992,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:14:29.730217,8.2421944,124.24402053333334,31.808999999999997,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:14:34.742169,8.2421919,124.24402403333335,31.828999999999994,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:14:39.772765,8.242189,124.24402583333334,31.868999999999993,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:14:44.808601,8.2421901,124.24402643333335,31.748999999999995,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:14:49.837510,8.242192000000001,124.24402453333335,31.788999999999994,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:14:54.863523,8.242195200000001,124.24402293333334,31.818999999999996,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:14:59.918932,8.2422026,124.24402393333334,31.979,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:15:04.919607,8.2422163,124.24402903333335,31.878999999999998,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:15:09.932795,8.2422279,124.24403223333334,32.019,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:15:14.972430,8.2422383,124.24403363333334,32.038999999999994,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:15:20.002341,8.2422401,124.24403163333335,31.878999999999998,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:15:25.024038,8.2422369,124.24402763333335,31.808999999999997,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:15:30.053813,8.242236700000001,124.24402573333334,32.038999999999994,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:15:35.081952,8.242238500000001,124.24402473333335,31.888999999999996,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:15:40.385205,8.2422359,124.24402053333334,32.019,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:15:45.172593,8.2422336,124.24401713333334,31.909,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:15:50.445191,8.2422403,124.24401683333335,31.918999999999997,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:15:56.028332,8.2422486,124.24401833333334,32.019,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:16:00.250278,8.2422565,124.24402173333334,32.068999999999996,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:16:05.309474,8.2422679,124.24402663333335,31.998999999999995,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:16:10.297452,8.2422792,124.24403273333334,32.11899999999999,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:16:15.331094,8.2422862,124.24403783333334,32.089,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:16:20.400736,8.2422885,124.24404223333335,32.108999999999995,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:16:25.392762,8.2422892,124.24404693333334,31.918999999999997,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:16:30.668823,8.2422898,124.24405253333335,31.958999999999996,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:16:35.426380,8.242290200000001,124.24405943333335,32.019,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:16:40.449266,8.2422887,124.24406353333335,31.928999999999995,8.2423624,124.2439292,74.889,3.0
2023-11-22 06:16:45.472463,8.2422895,124.24406933333334,32.059,8.2423624,124.2439292,74.889,3.0
